course_name,score,credits,catergory,phase
Entrepreneurial Management 1,11,3,BUSINESS,1
Introduction to Financial Management,16,3,BUSINESS,1
Business Fundamentals,13,3,BUSINESS,1
Marketing Fundamentals,20,3,BUSINESS,1
Data Visualisation,13,3,DATA,1
Data Processing & Analysis,10,3,DATA,1
Databases,10,6,DATA,1
Personal Development,14,3,COMMUNICATION,1
Data Protection,12,3,SECURITY,1
Information Security Fundamentals,10,4,SECURITY,1
Inspiration Lab,12,3,HANDS-ON EXPERIENCE,1
Programming Fundamentals,8,9,PROGRAMMING,1
Scripting,14,6,PROGRAMMING,1
Web Fundamentals,15,6,PROGRAMMING,1
Management Skills,14,3,BUSINESS,2
Procurement & Supply Chain,11,3,BUSINESS,2
Business & Culture,12,3,BUSINESS,2
Marketing Analytics,17,3,DATA,2
Data Science Fundamentals,20,6,DATA,2
Data Engineering,10,6,DATA,2
Business Communication,17,3,COMMUNICATION,2
Business Communication Topics,10,3,COMMUNICATION,2
Cyber Risk Management,14,3,SECURITY,2
Identity & Access Management,8,3,SECURITY,2
Security by Design,16,6,SECURITY,2
Web Programming,16,3,PROGRAMMING,2
Financial Management,10,6,BUSINESS,2
Philosophy of Technology and AI,12,3,SECURITY,3
Enterprise Resource Planning,14,3,BUSINESS,3
Project Management,17,3,BUSINESS,3
Corporate Social Responsibility,15,3,BUSINESS,3
Business Intelligence Lab ,14,3,DATA,3
Machine Learning & Forecasting,12,6,DATA,3
Hacking AI Systems,16,3,SECURITY,3
Artificial Intelligence,19,3,PROGRAMMING,3
DevOps,17,3,PROGRAMMING,3
